COMMON_NAME_ebird,SCIENTIFIC_NAME_ebird,COMMON_NAME_traits,SCIENTIFIC_NAME_traits,SCIENTIFIC_NAME_tree,COMMON_NAME_tree
Superb Lyrebird,Menura novaehollandiae,Superb Lyrebird,Menura_novaehollandiae,Menura novaehollandiae,Superb Lyrebird
Fan-tailed Cuckoo,Cacomantis flabelliformis,Fan-tailed Cuckoo,Cacomantis_flabelliformis,Cacomantis flabelliformis,Fan-tailed Cuckoo
Gray Fantail,Rhipidura albiscapa,Grey Fantail,Rhipidura_fuliginosa,Rhipidura fuliginosa,Grey Fantail
Southern Emuwren,Stipiturus malachurus,Southern Emu-wren,Stipiturus_malachurus,Stipiturus malachurus,Southern Emuwren
Australian King-Parrot,Alisterus scapularis,Australian King-Parrot,Alisterus_scapularis,Alisterus scapularis,Australian King-parrot
Brown Thornbill,Acanthiza pusilla,Brown Thornbill,Acanthiza_pusilla,Acanthiza pusilla,Brown Thornbill
Red-browed Treecreeper,Climacteris erythrops,Red-browed Treecreeper,Climacteris_erythrops,Climacteris erythrops,Red-browed Treecreeper
Rufous Fantail,Rhipidura rufifrons,Rufous Fantail,Rhipidura_rufifrons,Rhipidura rufifrons,Rufous Fantail
Rufous Whistler,Pachycephala rufiventris,Rufous Whistler,Pachycephala_rufiventris,Pachycephala rufiventris,Rufous Whistler
White-browed Scrubwren,Sericornis frontalis,White-browed Scrubwren,Sericornis_frontalis,Sericornis frontalis,White-browed Scrubwren
White-throated Treecreeper,Cormobates leucophaea,White-throated Treecreeper,Cormobates_leucophaea,Cormobates leucophaea,White-throated Treecreeper
Australian Raven,Corvus coronoides,Australian Raven,Corvus_coronoides,Corvus coronoides,Australian Raven
Maned Duck,Chenonetta jubata,Australian Wood Duck,Chenonetta_jubata,Chenonetta jubata,Australian Wood Duck
Masked Lapwing,Vanellus miles,Masked Lapwing,Vanellus_miles,Vanellus miles,Masked Lapwing
Noisy Miner,Manorina melanocephala,Noisy Miner,Manorina_melanocephala,Manorina melanocephala,Noisy Miner
Pacific Black Duck,Anas superciliosa,Pacific Black Duck,Anas_superciliosa,Anas superciliosa,Pacific Black Duck
Pacific Heron,Ardea pacifica,White-necked Heron,Ardea_pacifica,Ardea pacifica,White-necked Heron
Pied Currawong,Strepera graculina,Pied Currawong,Strepera_graculina,Strepera graculina,Pied Currawong
White-faced Heron,Egretta novaehollandiae,White-faced Heron,Egretta_novaehollandiae,Egretta novaehollandiae,White-faced Heron
Golden-headed Cisticola,Cisticola exilis,Golden-headed Cisticola,Cisticola_exilis,Cisticola exilis,Golden-headed Cisticola
Black-faced Cuckooshrike,Coracina novaehollandiae,Black-faced Cuckoo-shrike,Coracina_novaehollandiae,Coracina novaehollandiae,Black-faced Cuckooshrike
Crimson Rosella,Platycercus elegans,Crimson Rosella,Platycercus_elegans,Platycercus elegans,Crimson Rosella
Eurasian Blackbird,Turdus merula,Common Blackbird,Turdus_merula,Turdus merula,Eurasian Blackbird
Leaden Flycatcher,Myiagra rubecula,Leaden Flycatcher,Myiagra_rubecula,Myiagra rubecula,Leaden Flycatcher
Red-browed Firetail,Neochmia temporalis,Red-browed Finch,Neochmia_temporalis,Neochmia temporalis,Red-browed Finch
Red Wattlebird,Anthochaera carunculata,Red Wattlebird,Anthochaera_carunculata,Anthochaera carunculata,Red Wattlebird
Spotted Pardalote,Pardalotus punctatus,Spotted Pardalote,Pardalotus_punctatus,Pardalotus punctatus,Spotted Pardalote
European Starling,Sturnus vulgaris,Common Starling,Sturnus_vulgaris,Sturnus vulgaris,Common Starling
Australasian Darter,Anhinga novaehollandiae,Australasian Darter,Anhinga_novaehollandiae,Anhinga novaehollandiae,Australian Darter
Australasian Swamphen,Porphyrio melanotus,Purple Swamphen,Porphyrio_porphyrio,Porphyrio porphyrio,Purple Swamphen
Australian Reed Warbler,Acrocephalus australis,Australian Reed-Warbler,Acrocephalus_australis,Acrocephalus australis,Australian Reed-warbler
Dusky Moorhen,Gallinula tenebrosa,Dusky Moorhen,Gallinula_tenebrosa,Gallinula tenebrosa,Dusky Moorhen
European Goldfinch,Carduelis carduelis,European Goldfinch,Carduelis_carduelis,Carduelis carduelis,European Goldfinch
Dusky Woodswallow,Artamus cyanopterus,Dusky Woodswallow,Artamus_cyanopterus,Artamus cyanopterus,Dusky Woodswallow
Little Corella,Cacatua sanguinea,Little Corella,Cacatua_sanguinea,Cacatua sanguinea,Little Corella
Sacred Kingfisher,Todiramphus sanctus,Sacred Kingfisher,Todiramphus_sanctus,Todiramphus sanctus,Sacred Kingfisher
Australian Pelican,Pelecanus conspicillatus,Australian Pelican,Pelecanus_conspicillatus,Pelecanus conspicillatus,Australian Pelican
Little Black Cormorant,Phalacrocorax sulcirostris,Little Black Cormorant,Phalacrocorax_sulcirostris,Phalacrocorax sulcirostris,Little Black Cormorant
Pied Cormorant,Phalacrocorax varius,Pied Cormorant,Phalacrocorax_varius,Phalacrocorax varius,Large Pied Cormorant
Black Swan,Cygnus atratus,Black Swan,Cygnus_atratus,Cygnus atratus,Black Swan
Chestnut Teal,Anas castanea,Chestnut Teal,Anas_castanea,Anas castanea,Chestnut Teal
Freckled Duck,Stictonetta naevosa,Freckled Duck,Stictonetta_naevosa,Stictonetta naevosa,Freckled Duck
Gray Teal,Anas gracilis,Grey Teal,Anas_gracilis,Anas gracilis,Grey Teal
Hoary-headed Grebe,Poliocephalus poliocephalus,Hoary-headed Grebe,Poliocephalus_poliocephalus,Poliocephalus poliocephalus,Hoary-headed Grebe
White-eyed Duck,Aythya australis,Hardhead,Aythya_australis,Aythya australis,Hardhead
Little Wattlebird,Anthochaera chrysoptera,Little Wattlebird,Anthochaera_chrysoptera,Anthochaera chrysoptera,Little Wattlebird
Gang-gang Cockatoo,Callocephalon fimbriatum,Gang-gang Cockatoo,Callocephalon_fimbriatum,Callocephalon fimbriatum,Gang-gang Cockatoo
Beautiful Firetail,Stagonopleura bella,Beautiful Firetail,Stagonopleura_bella,Stagonopleura bella,Beautiful Firetail
Crescent Honeyeater,Phylidonyris pyrrhopterus,Crescent Honeyeater,Phylidonyris_pyrrhopterus,Phylidonyris pyrrhopterus,Crescent Honeyeater
Little Raven,Corvus mellori,Little Raven,Corvus_mellori,Corvus mellori,Little Raven
Eastern Yellow Robin,Eopsaltria australis,Eastern Yellow Robin,Eopsaltria_australis,Eopsaltria australis,Eastern Yellow Robin
Australasian Gannet,Morus serrator,Australasian Gannet,Morus_serrator,Morus serrator,Australasian Gannet
Australian Kestrel,Falco cenchroides,Nankeen Kestrel,Falco_cenchroides,Falco cenchroides,Nankeen Kestrel
Blue-winged Parrot,Neophema chrysostoma,Blue-winged Parrot,Neophema_chrysostoma,Neophema chrysostoma,Blue-winged Parrot
Eurasian Skylark,Alauda arvensis,Eurasian Skylark,Alauda_arvensis,Alauda arvensis,Eurasian Skylark
New Holland Honeyeater,Phylidonyris novaehollandiae,New Holland Honeyeater,Phylidonyris_novaehollandiae,Phylidonyris novaehollandiae,New Holland Honeyeater
Bar-shouldered Dove,Geopelia humeralis,Bar-shouldered Dove,Geopelia_humeralis,Geopelia humeralis,Bar-shouldered Dove
Black-faced Monarch,Monarcha melanopsis,Black-faced Monarch,Monarcha_melanopsis,Monarcha melanopsis,Black-faced Monarch
Brown Honeyeater,Lichmera indistincta,Brown Honeyeater,Lichmera_indistincta,Lichmera indistincta,Brown Honeyeater
Dollarbird,Eurystomus orientalis,Dollarbird,Eurystomus_orientalis,Eurystomus orientalis,Asian Dollarbird
Eastern Whipbird,Psophodes olivaceus,Eastern Whipbird,Psophodes_olivaceus,Psophodes olivaceus,Eastern Whipbird
Little Egret,Egretta garzetta,Little Egret,Egretta_garzetta,Egretta garzetta,Little Egret
Olive-backed Oriole,Oriolus sagittatus,Olive-backed Oriole,Oriolus_sagittatus,Oriolus sagittatus,Olive-backed Oriole
Osprey,Pandion haliaetus,Osprey,Pandion_haliaetus,Pandion haliaetus,Osprey
Pied Butcherbird,Cracticus nigrogularis,Pied Butcherbird,Cracticus_nigrogularis,Cracticus nigrogularis,Pied Butcherbird
Rainbow Bee-eater,Merops ornatus,Rainbow Bee-eater,Merops_ornatus,Merops ornatus,Rainbow Bee-eater
Rainbow Lorikeet,Trichoglossus haematodus,Coconut Lorikeet,Trichoglossus_haematodus,Trichoglossus haematodus,Rainbow Lorikeet
Red-backed Fairywren,Malurus melanocephalus,Red-backed Fairy-wren,Malurus_melanocephalus,Malurus melanocephalus,Red-backed Fairywren
Spangled Drongo,Dicrurus bracteatus,Spangled Drongo,Dicrurus_bracteatus,Dicrurus bracteatus,Spangled Drongo
Striated Pardalote,Pardalotus striatus,Striated Pardalote,Pardalotus_striatus,Pardalotus striatus,Striated Pardalote
Torresian Crow,Corvus orru,Torresian Crow,Corvus_orru,Corvus orru,Torresian Crow
Variegated Fairywren,Malurus lamberti,Variegated Fairy-wren,Malurus_lamberti,Malurus lamberti,Variegated Fairywren
Whistling Kite,Haliastur sphenurus,Whistling Kite,Haliastur_sphenurus,Haliastur sphenurus,Whistling Kite
White-bellied Sea-Eagle,Haliaeetus leucogaster,White-bellied Sea-Eagle,Haliaeetus_leucogaster,Haliaeetus leucogaster,White-bellied Sea-eagle
White-cheeked Honeyeater,Phylidonyris niger,White-cheeked Honeyeater,Phylidonyris_niger,Phylidonyris niger,White-cheeked Honeyeater
White-throated Needletail,Hirundapus caudacutus,White-throated Needletail,Hirundapus_caudacutus,Hirundapus caudacutus,White-throated Needletail
Australian Crake,Porzana fluminea,Australian Spotted Crake,Porzana_fluminea,Porzana fluminea,Australian Crake
Eurasian Coot,Fulica atra,Eurasian Coot,Fulica_atra,Fulica atra,Common Coot
Australian Shelduck,Tadorna tadornoides,Australian Shelduck,Tadorna_tadornoides,Tadorna tadornoides,Australian Shelduck
Banded Stilt,Cladorhynchus leucocephalus,Banded Stilt,Cladorhynchus_leucocephalus,Cladorhynchus leucocephalus,Banded Stilt
Cattle Egret,Bubulcus ibis,Cattle Egret,Bubulcus_ibis,Bubulcus ibis,Cattle Egret
Pink-eared Duck,Malacorhynchus membranaceus,Pink-eared Duck,Malacorhynchus_membranaceus,Malacorhynchus membranaceus,Pink-eared Duck
Red-capped Plover,Charadrius ruficapillus,Red-capped Plover,Charadrius_ruficapillus,Charadrius ruficapillus,Red-capped Plover
Red-kneed Dotterel,Erythrogonys cinctus,Red-kneed Dotterel,Erythrogonys_cinctus,Erythrogonys cinctus,Red-kneed Dotterel
Red-necked Stint,Calidris ruficollis,Red-necked Stint,Calidris_ruficollis,Calidris ruficollis,Red-necked Stint
Royal Spoonbill,Platalea regia,Royal Spoonbill,Platalea_regia,Platalea regia,Royal Spoonbill
Sharp-tailed Sandpiper,Calidris acuminata,Sharp-tailed Sandpiper,Calidris_acuminata,Calidris acuminata,Sharp-tailed Sandpiper
Straw-necked Ibis,Threskiornis spinicollis,Straw-necked Ibis,Threskiornis_spinicollis,Threskiornis spinicollis,Straw-necked Ibis
Swamp Harrier,Circus approximans,Swamp Harrier,Circus_approximans,Circus approximans,Swamp Harrier
Whiskered Tern,Chlidonias hybrida,Whiskered Tern,Chlidonias_hybrida,Chlidonias hybrida,Whiskered Tern
Brown Falcon,Falco berigora,Brown Falcon,Falco_berigora,Falco berigora,Brown Falcon
Rufous Bristlebird,Dasyornis broadbenti,Rufous Bristlebird,Dasyornis_broadbenti,Dasyornis broadbenti,Rufous Bristlebird
Striated Fieldwren,Calamanthus fuliginosus,Striated Fieldwren,Calamanthus_fuliginosus,Calamanthus fuliginosus,Striated Fieldwren
Long-billed Corella,Cacatua tenuirostris,Long-billed Corella,Cacatua_tenuirostris,Cacatua tenuirostris,Long-billed Corella
Brown Goshawk,Accipiter fasciatus,Brown Goshawk,Accipiter_fasciatus,Accipiter fasciatus,Brown Goshawk
Little Eagle,Hieraaetus morphnoides,Little Eagle,Hieraaetus_morphnoides,Hieraaetus morphnoides,Little Eagle
White-browed Woodswallow,Artamus superciliosus,White-browed Woodswallow,Artamus_superciliosus,Artamus superciliosus,White-browed Woodswallow
White-fronted Chat,Epthianura albifrons,White-fronted Chat,Epthianura_albifrons,Epthianura albifrons,White-fronted Chat
Brown-headed Honeyeater,Melithreptus brevirostris,Brown-headed Honeyeater,Melithreptus_brevirostris,Melithreptus brevirostris,Brown-headed Honeyeater
Gray Currawong,Strepera versicolor,Grey Currawong,Strepera_versicolor,Strepera versicolor,Grey Currawong
Brown Treecreeper,Climacteris picumnus,Brown Treecreeper,Climacteris_picumnus,Climacteris picumnus,Brown Treecreeper
Hooded Robin,Melanodryas cucullata,Hooded Robin,Melanodryas_cucullata,Melanodryas cucullata,Hooded Robin
Inland Thornbill,Acanthiza apicalis,Inland Thornbill,Acanthiza_apicalis,Acanthiza apicalis,Inland Thornbill
Masked Woodswallow,Artamus personatus,Masked Woodswallow,Artamus_personatus,Artamus personatus,Masked Woodswallow
Stubble Quail,Coturnix pectoralis,Stubble Quail,Coturnix_pectoralis,Coturnix pectoralis,Stubble Quail
Varied Sittella,Daphoenositta chrysoptera,Varied Sittella,Daphoenositta_chrysoptera,Daphoenositta chrysoptera,Varied Sittella
Weebill,Smicrornis brevirostris,Weebill,Smicrornis_brevirostris,Smicrornis brevirostris,Weebill
White-browed Babbler,Pomatostomus superciliosus,White-browed Babbler,Pomatostomus_superciliosus,Pomatostomus superciliosus,White-browed Babbler
Australasian Grebe,Tachybaptus novaehollandiae,Australasian Grebe,Tachybaptus_novaehollandiae,Tachybaptus novaehollandiae,Australasian Grebe
Southern Scrub-Robin,Drymodes brunneopygia,Southern Scrub-robin,Drymodes_brunneopygia,Drymodes brunneopygia,Southern Scrub-robin
Buff-rumped Thornbill,Acanthiza reguloides,Buff-rumped Thornbill,Acanthiza_reguloides,Acanthiza reguloides,Buff-rumped Thornbill
Scarlet Robin,Petroica boodang,Scarlet Robin,Petroica_multicolor,Petroica multicolor,Scarlet Robin
Australian Hobby,Falco longipennis,Australian Hobby,Falco_longipennis,Falco longipennis,Australian Hobby
Musk Lorikeet,Glossopsitta concinna,Musk Lorikeet,Glossopsitta_concinna,Glossopsitta concinna,Musk Lorikeet
Yellow-billed Spoonbill,Platalea flavipes,Yellow-billed Spoonbill,Platalea_flavipes,Platalea flavipes,Yellow-billed Spoonbill
Common Bronzewing,Phaps chalcoptera,Common Bronzewing,Phaps_chalcoptera,Phaps chalcoptera,Common Bronzewing
Emu,Dromaius novaehollandiae,Emu,Dromaius_novaehollandiae,Dromaius novaehollandiae,Emu
Jacky-winter,Microeca fascinans,Jacky Winter,Microeca_fascinans,Microeca fascinans,Jacky-winter
Red-capped Robin,Petroica goodenovii,Red-capped Robin,Petroica_goodenovii,Petroica goodenovii,Red-capped Robin
White-winged Triller,Lalage tricolor,White-winged Triller,Lalage_tricolor,Lalage tricolor,White-winged Triller
Yellow Thornbill,Acanthiza nana,Yellow Thornbill,Acanthiza_nana,Acanthiza nana,Yellow Thornbill
Australian Brushturkey,Alectura lathami,Australian Brush-turkey,Alectura_lathami,Alectura lathami,Australian Brush-turkey
Blue-faced Honeyeater,Entomyzon cyanotis,Blue-faced Honeyeater,Entomyzon_cyanotis,Entomyzon cyanotis,Blue-faced Honeyeater
Brahminy Kite,Haliastur indus,Brahminy Kite,Haliastur_indus,Haliastur indus,Brahminy Kite
Lewin's Honeyeater,Meliphaga lewinii,Lewin's Honeyeater,Meliphaga_lewinii,Meliphaga lewinii,Lewin's Honeyeater
Striated Heron,Butorides striata,Striated Heron,Butorides_striata,Butorides striata,Striated Heron
Painted Buttonquail,Turnix varius,Painted Button-quail,Turnix_varius,Turnix varius,Painted Buttonquail
Great Crested Grebe,Podiceps cristatus,Great Crested Grebe,Podiceps_cristatus,Podiceps cristatus,Great Crested Grebe
Australian Ringneck,Barnardius zonarius,Australian Ringneck,Barnardius_zonarius,Barnardius zonarius,Ringneck Parrot
Gray Butcherbird,Cracticus torquatus,Grey Butcherbird,Cracticus_torquatus,Cracticus torquatus,Grey Butcherbird
Redthroat,Pyrrholaemus brunneus,Redthroat,Pyrrholaemus_brunneus,Pyrrholaemus brunneus,Redthroat
Southern Whiteface,Aphelocephala leucopsis,Southern Whiteface,Aphelocephala_leucopsis,Aphelocephala leucopsis,Southern Whiteface
Splendid Fairywren,Malurus splendens,Splendid Fairy-wren,Malurus_splendens,Malurus splendens,Splendid Fairywren
Cockatiel,Nymphicus hollandicus,Cockatiel,Nymphicus_hollandicus,Nymphicus hollandicus,Cockatiel
Southern Boobook,Ninox novaeseelandiae,New Zealand Boobook,Ninox_novaeseelandiae,Ninox novaeseelandiae,Southern Boobook
Cape Barren Goose,Cereopsis novaehollandiae,Cape Barren Goose,Cereopsis_novaehollandiae,Cereopsis novaehollandiae,Cape Barren Goose
Black-headed Honeyeater,Melithreptus affinis,Black-headed Honeyeater,Melithreptus_affinis,Melithreptus affinis,Black-headed Honeyeater
Dusky Robin,Melanodryas vittata,Dusky Robin,Melanodryas_vittata,Melanodryas vittata,Dusky Robin
Forest Raven,Corvus tasmanicus,Forest Raven,Corvus_tasmanicus,Corvus tasmanicus,Forest Raven
Forty-spotted Pardalote,Pardalotus quadragintus,Forty-spotted Pardalote,Pardalotus_quadragintus,Pardalotus quadragintus,Forty-spotted Pardalote
Green Rosella,Platycercus caledonicus,Green Rosella,Platycercus_caledonicus,Platycercus caledonicus,Green Rosella
Kelp Gull,Larus dominicanus,Kelp Gull,Larus_dominicanus,Larus dominicanus,Kelp Gull
Yellow Wattlebird,Anthochaera paradoxa,Yellow Wattlebird,Anthochaera_paradoxa,Anthochaera paradoxa,Yellow Wattlebird
Black Currawong,Strepera fuliginosa,Black Currawong,Strepera_fuliginosa,Strepera fuliginosa,Black Currawong
Bassian Thrush,Zoothera lunulata,Bassian Thrush,Zoothera_lunulata,Zoothera lunulata,Bassian Thrush
Eastern Spinebill,Acanthorhynchus tenuirostris,Eastern Spinebill,Acanthorhynchus_tenuirostris,Acanthorhynchus tenuirostris,Eastern Spinebill
Tasmanian Scrubwren,Sericornis humilis,Tasmanian Scrubwren,Sericornis_humilis,Sericornis humilis,Tasmanian Scrubwren
Wedge-tailed Eagle,Aquila audax,Wedge-tailed Eagle,Aquila_audax,Aquila audax,Wedge-tailed Eagle
Pink Robin,Petroica rodinogaster,Pink Robin,Petroica_rodinogaster,Petroica rodinogaster,Pink Robin
Strong-billed Honeyeater,Melithreptus validirostris,Strong-billed Honeyeater,Melithreptus_validirostris,Melithreptus validirostris,Strong-billed Honeyeater
Tasmanian Thornbill,Acanthiza ewingii,Tasmanian Thornbill,Acanthiza_ewingii,Acanthiza ewingii,Tasmanian Thornbill
Pied Oystercatcher,Haematopus longirostris,Australian Pied Oystercatcher,Haematopus_longirostris,Haematopus longirostris,Pied Oystercatcher
Brush Bronzewing,Phaps elegans,Brush Bronzewing,Phaps_elegans,Phaps elegans,Brush Bronzewing
Pacific Gull,Larus pacificus,Pacific Gull,Larus_pacificus,Larus pacificus,Pacific Gull
Australasian Figbird,Sphecotheres vieilloti,Australasian Figbird,Sphecotheres_vieilloti,Sphecotheres vieilloti,Australasian Figbird
Channel-billed Cuckoo,Scythrops novaehollandiae,Channel-billed Cuckoo,Scythrops_novaehollandiae,Scythrops novaehollandiae,Channel-billed Cuckoo
Helmeted Friarbird,Philemon buceroides,Helmeted Friarbird,Philemon_buceroides,Philemon buceroides,Helmeted Friarbird
Scaly-breasted Lorikeet,Trichoglossus chlorolepidotus,Scaly-breasted Lorikeet,Trichoglossus_chlorolepidotus,Trichoglossus chlorolepidotus,Scaly-breasted Lorikeet
Torresian Imperial-Pigeon,Ducula spilorrhoa,Torresian Imperial-Pigeon,Ducula_spilorrhoa,Ducula spilorrhoa,Torresian Imperial-pigeon
Varied Triller,Lalage leucomela,Varied Triller,Lalage_leucomela,Lalage leucomela,Varied Triller
Common Myna,Acridotheres tristis,Common Myna,Acridotheres_tristis,Acridotheres tristis,Common Myna
Metallic Starling,Aplonis metallica,Metallic Starling,Aplonis_metallica,Aplonis metallica,Metallic Starling
Red-tailed Black-Cockatoo,Calyptorhynchus banksii,Red-tailed Black-Cockatoo,Calyptorhynchus_banksii,Calyptorhynchus banksii,Red-tailed Black-cockatoo
White-breasted Woodswallow,Artamus leucorynchus,White-breasted Woodswallow,Artamus_leucorynchus,Artamus leucorynchus,White-breasted Woodswallow
Green Oriole,Oriolus flavocinctus,Yellow Oriole,Oriolus_flavocinctus,Oriolus flavocinctus,Green Oriole
Oriental Cuckoo,Cuculus optatus,Oriental Cuckoo,Cuculus_saturatus,Cuculus saturatus,Himalayan Cuckoo
Wonga Pigeon,Leucosarcia melanoleuca,Wonga Pigeon,Leucosarcia_melanoleuca,Leucosarcia melanoleuca,Wonga Pigeon
Australian Logrunner,Orthonyx temminckii,Australian Logrunner,Orthonyx_temminckii,Orthonyx temminckii,Australian Logrunner
Australian Masked-Owl,Tyto novaehollandiae,Masked Owl,Tyto_novaehollandiae,Tyto novaehollandiae,Australian Masked-owl
Australian Owlet-nightjar,Aegotheles cristatus,Australian Owlet-nightjar,Aegotheles_cristatus,Aegotheles cristatus,Australian Owlet-nightjar
Brown Cuckoo-Dove,Macropygia phasianella,Brown Cuckoo-Dove,Macropygia_phasianella,Macropygia phasianella,Brown Cuckoo-Dove
Brown Gerygone,Gerygone mouki,Brown Gerygone,Gerygone_mouki,Gerygone mouki,Brown Gerygone
Glossy Black-Cockatoo,Calyptorhynchus lathami,Glossy Black-Cockatoo,Calyptorhynchus_lathami,Calyptorhynchus lathami,Glossy Black-cockatoo
Gray Goshawk,Accipiter novaehollandiae,Grey Goshawk,Accipiter_novaehollandiae,Accipiter novaehollandiae,Grey Goshawk
Green Catbird,Ailuroedus crassirostris,Green Catbird,Ailuroedus_crassirostris,Ailuroedus crassirostris,Green Catbird
Noisy Pitta,Pitta versicolor,Noisy Pitta,Pitta_versicolor,Pitta versicolor,Noisy Pitta
Pheasant Coucal,Centropus phasianinus,Pheasant Coucal,Centropus_phasianinus,Centropus phasianinus,Pheasant Coucal
Rose Robin,Petroica rosea,Rose Robin,Petroica_rosea,Petroica rosea,Rose Robin
Satin Bowerbird,Ptilonorhynchus violaceus,Satin Bowerbird,Ptilonorhynchus_violaceus,Ptilonorhynchus violaceus,Satin Bowerbird
Tawny Frogmouth,Podargus strigoides,Tawny Frogmouth,Podargus_strigoides,Podargus strigoides,Tawny Frogmouth
Topknot Pigeon,Lopholaimus antarcticus,Topknot Pigeon,Lopholaimus_antarcticus,Lopholaimus antarcticus,Topknot Pigeon
White-headed Pigeon,Columba leucomela,White-headed Pigeon,Columba_leucomela,Columba leucomela,White-headed Pigeon
Wompoo Fruit-Dove,Ptilinopus magnificus,Wompoo Fruit-Dove,Ptilinopus_magnificus,Ptilinopus magnificus,Wompoo Fruit-dove
Yellow-throated Scrubwren,Sericornis citreogularis,Yellow-throated Scrubwren,Sericornis_citreogularis,Sericornis citreogularis,Yellow-throated Scrubwren
Apostlebird,Struthidea cinerea,Apostlebird,Struthidea_cinerea,Struthidea cinerea,Apostlebird
Australasian Bushlark,Mirafra javanica,Horsfield's Bushlark,Mirafra_javanica,Mirafra javanica,Australasian Lark
Australian Bustard,Ardeotis australis,Australian Bustard,Ardeotis_australis,Ardeotis australis,Australian Bustard
Black-faced Woodswallow,Artamus cinereus,Black-faced Woodswallow,Artamus_cinereus,Artamus cinereus,Black-faced Woodswallow
Black-fronted Dotterel,Elseyornis melanops,Black-fronted Dotterel,Elseyornis_melanops,Elseyornis melanops,Black-fronted Dotterel
Black Kite,Milvus migrans,Black Kite,Milvus_migrans,Milvus migrans,Black Kite
Little Friarbird,Philemon citreogularis,Little Friarbird,Philemon_citreogularis,Philemon citreogularis,Little Friarbird
Pale-headed Rosella,Platycercus adscitus,Pale-headed Rosella,Platycercus_adscitus,Platycercus adscitus,Pale-headed Rosella
Red-backed Kingfisher,Todiramphus pyrrhopygius,Red-backed Kingfisher,Todiramphus_pyrrhopygius,Todiramphus pyrrhopygius,Red-backed Kingfisher
Squatter Pigeon,Geophaps scripta,Squatter Pigeon,Geophaps_scripta,Geophaps scripta,Squatter Pigeon
Striped Honeyeater,Plectorhyncha lanceolata,Striped Honeyeater,Plectorhyncha_lanceolata,Plectorhyncha lanceolata,Striped Honeyeater
Yellow-throated Miner,Manorina flavigula,Yellow-throated Miner,Manorina_flavigula,Manorina flavigula,Yellow-throated Miner
Collared Sparrowhawk,Accipiter cirrocephalus,Collared Sparrowhawk,Accipiter_cirrocephalus,Accipiter cirrocephalus,Collared Sparrowhawk
Gray-crowned Babbler,Pomatostomus temporalis,Grey-crowned Babbler,Pomatostomus_temporalis,Pomatostomus temporalis,Grey-crowned Babbler
Mistletoebird,Dicaeum hirundinaceum,Mistletoebird,Dicaeum_hirundinaceum,Dicaeum hirundinaceum,Mistletoebird
Blue-winged Kookaburra,Dacelo leachii,Blue-winged Kookaburra,Dacelo_leachii,Dacelo leachii,Blue-winged Kookaburra
Little Woodswallow,Artamus minor,Little Woodswallow,Artamus_minor,Artamus minor,Little Woodswallow
Pictorella Munia,Heteromunia pectoralis,Pictorella Mannikin,Heteromunia_pectoralis,Heteromunia pectoralis,Pictorella Munia
Plumed Whistling-Duck,Dendrocygna eytoni,Plumed Whistling-Duck,Dendrocygna_eytoni,Dendrocygna eytoni,Plumed Whistling-duck
Red-winged Parrot,Aprosmictus erythropterus,Red-winged Parrot,Aprosmictus_erythropterus,Aprosmictus erythropterus,Red-winged Parrot
White-throated Honeyeater,Melithreptus albogularis,White-throated Honeyeater,Melithreptus_albogularis,Melithreptus albogularis,White-throated Honeyeater
Pale-yellow Robin,Tregellasia capito,Pale-yellow Robin,Tregellasia_capito,Tregellasia capito,Pale-yellow Robin
Regent Bowerbird,Sericulus chrysocephalus,Regent Bowerbird,Sericulus_chrysocephalus,Sericulus chrysocephalus,Regent Bowerbird
Russet-tailed Thrush,Zoothera heinei,Russet-tailed Thrush,Zoothera_heinei,Zoothera heinei,Russet-tailed Thrush
Striated Thornbill,Acanthiza lineata,Striated Thornbill,Acanthiza_lineata,Acanthiza lineata,Striated Thornbill
Little Shrikethrush,Colluricincla megarhyncha,Little Shrike-thrush,Colluricincla_megarhyncha,Colluricincla megarhyncha,Little Shrike-thrush
Bell Miner,Manorina melanophrys,Bell Miner,Manorina_melanophrys,Manorina melanophrys,Bell Miner
Forest Kingfisher,Todiramphus macleayii,Forest Kingfisher,Todiramphus_macleayii,Todiramphus macleayii,Forest Kingfisher
Pacific Baza,Aviceda subcristata,Pacific Baza,Aviceda_subcristata,Aviceda subcristata,Pacific Baza
Australian Kite,Elanus axillaris,Black-shouldered Kite,Elanus_axillaris,Elanus axillaris,Black-shouldered Kite
Comb-crested Jacana,Irediparra gallinacea,Comb-crested Jacana,Irediparra_gallinacea,Irediparra gallinacea,Comb-crested Jacana
Pied Stilt,Himantopus leucocephalus,Black-winged Stilt,Himantopus_leucocephalus,Himantopus leucocephalus,White-headed Stilt
Scarlet Myzomela,Myzomela sanguinolenta,Scarlet Honeyeater,Myzomela_sanguinolenta,Myzomela sanguinolenta,Scarlet Myzomela
Magpie Goose,Anseranas semipalmata,Magpie Goose,Anseranas_semipalmata,Anseranas semipalmata,Magpie Goose
Bar-tailed Godwit,Limosa lapponica,Bar-tailed Godwit,Limosa_lapponica,Limosa lapponica,Bar-tailed Godwit
Brown Songlark,Megalurus cruralis,Brown Songlark,Cincloramphus_cruralis,Cincloramphus cruralis,Brown Songlark
Common Greenshank,Tringa nebularia,Common Greenshank,Tringa_nebularia,Tringa nebularia,Common Greenshank
Curlew Sandpiper,Calidris ferruginea,Curlew Sandpiper,Calidris_ferruginea,Calidris ferruginea,Curlew Sandpiper
