COMMON_NAME_ebird,SCIENTIFIC_NAME_ebird,COMMON_NAME_traits,SCIENTIFIC_NAME_traits,SCIENTIFIC_NAME_tree,COMMON_NAME_tree
Chestnut-breasted Cuckoo,Cacomantis castaneiventris,Chestnut-breasted Cuckoo,Cacomantis_castaneiventris,Cacomantis castaneiventris,Chestnut-breasted Cuckoo
Asian Dowitcher,Limnodromus semipalmatus,Asian Dowitcher,Limnodromus_semipalmatus,Limnodromus semipalmatus,Asian Dowitcher
Banded Whiteface,Aphelocephala nigricincta,Banded Whiteface,Aphelocephala_nigricincta,Aphelocephala nigricincta,Banded Whiteface
Long-toed Stint,Calidris subminuta,Long-toed Stint,Calidris_subminuta,Calidris subminuta,Long-toed Stint
Painted Honeyeater,Grantiella picta,Painted Honeyeater,Grantiella_picta,Grantiella picta,Painted Honeyeater
Rufous Scrub-bird,Atrichornis rufescens,Rufous Scrub-bird,Atrichornis_rufescens,Atrichornis rufescens,Rufous Scrub-bird
Oriental Plover,Charadrius veredus,Oriental Plover,Charadrius_veredus,Charadrius veredus,Oriental Plover
Rufous Owl,Ninox rufa,Rufous Owl,Ninox_rufa,Ninox rufa,Rufous Owl
Eurasian Tree Sparrow,Passer montanus,Eurasian Tree Sparrow,Passer_montanus,Passer montanus,Eurasian Tree Sparrow
Mallee Emuwren,Stipiturus mallee,Mallee Emu-wren,Stipiturus_mallee,Stipiturus mallee,Mallee Emuwren
Yellow Chat,Epthianura crocea,Yellow Chat,Epthianura_crocea,Epthianura crocea,Yellow Chat
White Tern,Gygis alba,White Tern,Gygis_alba,Gygis alba,Common White Tern
Parasitic Jaeger,Stercorarius parasiticus,Arctic Jaeger,Stercorarius_parasiticus,Stercorarius parasiticus,Parasitic Jaeger
White-fronted Tern,Sterna striata,White-fronted Tern,Sterna_striata,Sterna striata,White-fronted Tern
Spotted Whistling-Duck,Dendrocygna guttata,Spotted Whistling-Duck,Dendrocygna_guttata,Dendrocygna guttata,Spotted Whistling-duck
Great Crested Tern,Thalasseus bergii,Crested Tern,Thalasseus_bergii,Sterna bergii,Great Crested Tern
Australian Ibis,Threskiornis molucca,Australian White Ibis,Threskiornis_moluccus,Threskiornis molucca,Australian Sacred Ibis
Yellow-tailed Black-Cockatoo,Calyptorhynchus funereus,Yellow-tailed Black-Cockatoo,Zanda_funereus,Calyptorhynchus funereus,Yellow-tailed Black-cockatoo
Horsfield's Bronze-Cuckoo,Chrysococcyx basalis,Horsfield's Bronze-Cuckoo,Chalcites_basalis,Chrysococcyx basalis,Horsfield's Bronze-cuckoo
European Greenfinch,Chloris chloris,Common Greenfinch,Chloris_chloris,Carduelis chloris,European Greenfinch
Common Cicadabird,Edolisoma tenuirostre,Cicadabird,Edolisoma_tenuirostris,Coracina tenuirostris,Slender-billed Cicadabird
Gull-billed Tern,Gelochelidon nilotica,Common Gull-billed Tern,Gelochelidon_nilotica,Sterna nilotica,Gull-billed Tern
Shining Bronze-Cuckoo,Chrysococcyx lucidus,Shining Bronze-Cuckoo,Chalcites_lucidus,Chrysococcyx lucidus,Shining Bronze-cuckoo
Pacific Emerald Dove,Chalcophaps longirostris,Brown-capped Emerald Dove,Chalcophaps_longirostris,Chalcophaps indica,Emerald Dove
Western Whistler,Pachycephala occidentalis,not_treated_as_species,not_treated_as_species,not_treated_as_species,not_treated_as_species
Little Bronze-Cuckoo,Chrysococcyx minutillus,Little Bronze-Cuckoo,Chalcites_minutillus,Chrysococcyx minutillus,Little Bronze-cuckoo
Carnaby's Black-Cockatoo,Calyptorhynchus latirostris,Carnaby's Black-Cockatoo,Zanda_latirostris,not_treated_as_species,not_treated_as_species
Paperbark Flycatcher,Myiagra nana,not_treated_as_species,not_treated_as_species,not_treated_as_species,not_treated_as_species
Silver-backed Butcherbird,Cracticus argenteus,not_treated_as_species,not_treated_as_species,not_treated_as_species,not_treated_as_species
Arafura Fantail,Rhipidura dryas,not_treated_as_species,not_treated_as_species,not_treated_as_species,not_treated_as_species
Gilbert's Honeyeater,Melithreptus chloropsis,not_treated_as_species,not_treated_as_species,not_treated_as_species,not_treated_as_species
Baudin's Black-Cockatoo,Calyptorhynchus baudinii,Baudin's Black-Cockatoo,Zanda_baudinii,Calyptorhynchus baudinii,Baudin<U+0092>s Black-Cockatoo
Blue-breasted Quail,Synoicus chinensis,King Quail,Synoicus_chinensis,Coturnix chinensis,Blue Quail
Red-backed Buttonquail,Turnix maculosus,Red-backed Button-quail,Turnix_maculosa,Turnix maculosus,Red-backed Buttonquail
Black-backed Bittern,Ixobrychus dubius,Australian Little Bittern,Ixobrychus_dubius,not_treated_as_species,not_treated_as_species
Lord Howe White-eye,Zosterops tephropleurus,not_treated_as_species,not_treated_as_species,not_treated_as_species,not_treated_as_species
Aleutian Tern,Onychoprion aleuticus,new_to_australia,new_to_australia,Sterna aleutica,Aleutian Tern
